city,date,temp,humidity,description
new york,2025-07-10T13:00:00,81.27,72,moderate rain
new york,2025-07-11T13:00:00,83.32,63,light rain
new york,2025-07-12T13:00:00,84.42,58,scattered clouds
new york,2025-07-13T13:00:00,81.9,63,scattered clouds
new york,2025-07-14T13:00:00,80.19,72,light rain
new york,2025-07-15T13:00:00,92.53,28,light rain
new york,2025-07-16T13:00:00,90.64,50,scattered clouds
new york,2025-07-10T13:00:00,81.27,72,moderate rain
new york,2025-07-11T13:00:00,83.32,63,light rain
new york,2025-07-12T13:00:00,84.42,58,scattered clouds
new york,2025-07-13T13:00:00,81.9,63,scattered clouds
new york,2025-07-14T13:00:00,80.19,72,light rain
new york,2025-07-15T13:00:00,92.53,28,light rain
new york,2025-07-16T13:00:00,90.64,50,scattered clouds
new york,2025-07-10T13:00:00,81.27,72,moderate rain
new york,2025-07-11T13:00:00,83.32,63,light rain
new york,2025-07-12T13:00:00,84.42,58,scattered clouds
new york,2025-07-13T13:00:00,81.9,63,scattered clouds
new york,2025-07-14T13:00:00,80.19,72,light rain
new york,2025-07-15T13:00:00,92.53,28,light rain
new york,2025-07-16T13:00:00,90.64,50,scattered clouds
new york,2025-07-11T13:00:00,83.32,67,light rain
new york,2025-07-12T13:00:00,85.37,51,scattered clouds
new york,2025-07-13T13:00:00,82.69,60,few clouds
new york,2025-07-14T13:00:00,84.38,61,light rain
new york,2025-07-15T13:00:00,86.7,56,light rain
new york,2025-07-16T13:00:00,88.61,56,light rain
new york,2025-07-17T13:00:00,88.02,59,few clouds
new york,2025-07-11T13:00:00,83.32,67,light rain
new york,2025-07-12T13:00:00,85.37,51,scattered clouds
new york,2025-07-13T13:00:00,82.69,60,few clouds
new york,2025-07-14T13:00:00,84.38,61,light rain
new york,2025-07-15T13:00:00,86.7,56,light rain
new york,2025-07-16T13:00:00,88.61,56,light rain
new york,2025-07-17T13:00:00,88.02,59,few clouds
new york,2025-07-11T13:00:00,83.32,67,light rain
new york,2025-07-12T13:00:00,85.37,51,scattered clouds
new york,2025-07-13T13:00:00,82.69,60,few clouds
new york,2025-07-14T13:00:00,84.38,61,light rain
new york,2025-07-15T13:00:00,86.7,56,light rain
new york,2025-07-16T13:00:00,88.61,56,light rain
new york,2025-07-17T13:00:00,88.02,59,few clouds
chicago,2025-07-11T13:00:00,83.57,69,heavy intensity rain
chicago,2025-07-12T13:00:00,75.9,85,moderate rain
chicago,2025-07-13T13:00:00,78.85,50,broken clouds
chicago,2025-07-14T13:00:00,81.88,46,clear sky
chicago,2025-07-15T13:00:00,85.78,55,scattered clouds
chicago,2025-07-16T13:00:00,89.55,48,light rain
chicago,2025-07-17T13:00:00,80.04,72,moderate rain
chicago,2025-07-11T13:00:00,83.57,69,heavy intensity rain
chicago,2025-07-12T13:00:00,75.9,85,moderate rain
chicago,2025-07-13T13:00:00,78.85,50,broken clouds
chicago,2025-07-14T13:00:00,81.88,46,clear sky
chicago,2025-07-15T13:00:00,85.78,55,scattered clouds
chicago,2025-07-16T13:00:00,89.55,48,light rain
chicago,2025-07-17T13:00:00,80.04,72,moderate rain
New York,2025-07-11T13:00:00,85.21,69,light rain
New York,2025-07-12T13:00:00,85.33,54,scattered clouds
New York,2025-07-13T13:00:00,82.49,60,clear sky
New York,2025-07-14T13:00:00,84.36,61,moderate rain
New York,2025-07-15T13:00:00,88.56,55,light rain
New York,2025-07-16T13:00:00,88.54,56,light rain
New York,2025-07-17T13:00:00,88.48,58,light rain
New York,2025-07-11T13:00:00,85.21,69,light rain
New York,2025-07-12T13:00:00,85.33,54,scattered clouds
New York,2025-07-13T13:00:00,82.49,60,clear sky
New York,2025-07-14T13:00:00,84.36,61,moderate rain
New York,2025-07-15T13:00:00,88.56,55,light rain
New York,2025-07-16T13:00:00,88.54,56,light rain
New York,2025-07-17T13:00:00,88.48,58,light rain
New York,2025-07-11T13:00:00,85.21,69,light rain
New York,2025-07-12T13:00:00,85.33,54,scattered clouds
New York,2025-07-13T13:00:00,82.49,60,clear sky
New York,2025-07-14T13:00:00,84.36,61,moderate rain
New York,2025-07-15T13:00:00,88.56,55,light rain
New York,2025-07-16T13:00:00,88.54,56,light rain
New York,2025-07-17T13:00:00,88.48,58,light rain
New York,2025-07-11T13:00:00,85.21,69,light rain
New York,2025-07-12T13:00:00,85.33,54,scattered clouds
New York,2025-07-13T13:00:00,82.49,60,clear sky
New York,2025-07-14T13:00:00,84.36,61,moderate rain
New York,2025-07-15T13:00:00,88.56,55,light rain
New York,2025-07-16T13:00:00,88.54,56,light rain
New York,2025-07-17T13:00:00,88.48,58,light rain
New York,2025-07-11T13:00:00,85.21,69,light rain
New York,2025-07-12T13:00:00,85.33,54,scattered clouds
New York,2025-07-13T13:00:00,82.49,60,clear sky
New York,2025-07-14T13:00:00,84.36,61,moderate rain
New York,2025-07-15T13:00:00,88.56,55,light rain
New York,2025-07-16T13:00:00,88.54,56,light rain
New York,2025-07-17T13:00:00,88.48,58,light rain
New York,2025-07-11T13:00:00,85.21,69,light rain
New York,2025-07-12T13:00:00,85.33,54,scattered clouds
New York,2025-07-13T13:00:00,82.49,60,clear sky
New York,2025-07-14T13:00:00,84.36,61,moderate rain
New York,2025-07-15T13:00:00,88.56,55,light rain
New York,2025-07-16T13:00:00,88.54,56,light rain
