id,timestamp,city,country,temp,feels_like,humidity,pressure,weather_summary,weather_detail,wind_speed,wind_deg,clouds,visibility,fetched_at,created_at
904,2025-07-16T06:41:59,Knoxville,US,23.59,24.43,93,1017.0,Mist,mist,0.0,0,0,3219,2025-07-16T06:41:59.738812,2025-07-16 06:41:59
889,2025-07-16T06:29:19,Salt Lake City,US,24.32,24.01,46,1013.0,Clouds,overcast clouds,2.95,119,89,10000,2025-07-16T06:32:49.902828,2025-07-16 06:32:49
888,2025-07-16T06:29:19,Salt Lake City,US,24.32,24.01,46,1013.0,Clouds,overcast clouds,2.95,119,89,10000,2025-07-16T06:32:48.938402,2025-07-16 06:32:48
881,2025-07-16T06:29:19,Salt Lake City,US,24.32,24.01,46,1013.0,Clouds,overcast clouds,2.95,119,89,10000,2025-07-16T06:31:24.035171,2025-07-16 06:31:24
899,2025-07-16T06:27:54,St Louis,US,24.03,24.89,92,1013.0,Clear,clear sky,0.45,317,0,10000,2025-07-16T06:32:59.918339,2025-07-16 06:32:59
898,2025-07-16T06:27:54,St Louis,US,24.03,24.89,92,1013.0,Clear,clear sky,0.45,317,0,10000,2025-07-16T06:32:58.862577,2025-07-16 06:32:58
886,2025-07-16T06:27:54,St Louis,US,24.03,24.89,92,1013.0,Clear,clear sky,0.45,317,0,10000,2025-07-16T06:31:29.390639,2025-07-16 06:31:29
903,2025-07-16T06:27:20,Knoxville,US,23.83,24.67,92,1017.0,Mist,mist,0.45,297,40,6437,2025-07-16T06:33:20.586055,2025-07-16 06:33:20
902,2025-07-16T06:27:20,Knoxville,US,23.83,24.67,92,1017.0,Mist,mist,0.45,297,40,6437,2025-07-16T06:33:07.073833,2025-07-16 06:33:07
895,2025-07-16T06:27:20,Knoxville,US,23.83,24.67,92,1017.0,Mist,mist,0.45,297,40,6437,2025-07-16T06:32:55.864027,2025-07-16 06:32:55
894,2025-07-16T06:27:20,Knoxville,US,23.83,24.67,92,1017.0,Mist,mist,0.45,297,40,6437,2025-07-16T06:32:54.862366,2025-07-16 06:32:54
891,2025-07-16T06:27:20,Knoxville,US,23.83,24.67,92,1017.0,Mist,mist,0.45,297,40,6437,2025-07-16T06:32:51.860855,2025-07-16 06:32:51
890,2025-07-16T06:27:20,Knoxville,US,23.83,24.67,92,1017.0,Mist,mist,0.45,297,40,6437,2025-07-16T06:32:50.863095,2025-07-16 06:32:50
884,2025-07-16T06:27:20,Knoxville,US,23.83,24.67,92,1017.0,Mist,mist,0.45,297,40,6437,2025-07-16T06:31:27.247844,2025-07-16 06:31:27
882,2025-07-16T06:27:20,Knoxville,US,23.83,24.67,92,1017.0,Mist,mist,0.45,297,40,6437,2025-07-16T06:31:25.116375,2025-07-16 06:31:25
